fl,tl,TL - FL,w,pit,sx,d,m,y,site,,,,,,,,,,,,,,,,,
246,283,37,210,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
255,291,36,246,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
229,260,31,186,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,253,28,147,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
226,260,34,170,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,241,31,151,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,281,37,231,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,268,33,183,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
227,258,31,159,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
223,254,31,164,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,279,34,225,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,268,31,219,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
230,265,35,195,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,277,33,219,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
209,234,25,145,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
215,242,27,125,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,267,30,198,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,270,25,179,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
243,275,32,235,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
205,232,27,124,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
227,264,37,184,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
200,230,30,196,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
254,290,36,241,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
228,264,36,117,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
209,241,32,135,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
248,285,37,248,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
241,275,34,225,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
249,284,35,239,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,279,34,230,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,281,36,205,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
205,234,29,130,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
230,261,31,204,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,251,26,142,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
201,231,30,127,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,280,36,218,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
213,244,31,148,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,264,29,194,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
229,261,32,171,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
222,241,19,139,9.00228E+14,na,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
224,245,21,145,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
220,255,35,150,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,260,25,170,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
228,261,33,183,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
232,266,34,190,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
224,257,33,172,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
196,227,31,112,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
249,286,37,222,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,254,29,160,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
270,307,37,316,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
224,256,32,176,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,272,37,199,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
226,258,32,163,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
199,230,31,110,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
215,248,33,137,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
214,254,40,156,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
206,237,31,134,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,257,32,150,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
197,221,24,110,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
201,232,31,132,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
248,278,30,211,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
230,264,34,194,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
192,219,27,106,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
212,242,30,141,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
226,262,36,185,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
228,265,37,187,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
203,232,29,118,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,277,33,241,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
246,281,35,121,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
250,286,36,207,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
208,240,32,130,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,245,35,142,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
215,248,33,144,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,279,35,215,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
249,284,35,246,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
201,233,32,117,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
216,248,32,149,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
238,276,38,216,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
119,229,110,112,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
230,261,31,190,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,280,35,218,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
227,256,29,161,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,269,34,205,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,278,33,232,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,281,36,206,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
236,271,35,203,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
